

============2021-01-23 11:06:00===========

Connecting to host 10.10.0.23, port 25004
Reverse mode, remote host 10.10.0.23 is sending
[  5] local 172.16.62.237 port 59196 connected to 10.10.0.23 port 25004
[ ID] Interval           Transfer     Bandwidth
[  5]   8.30-8.40   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   8.40-8.50   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   8.50-8.60   sec   384 KBytes  31.4 Mbits/sec                  
[  5]   8.60-8.70   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   8.70-8.80   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   8.80-8.90   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   8.90-9.00   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   9.00-9.10   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   9.10-9.20   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   9.20-9.30   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   9.30-9.40   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   9.40-9.50   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   9.50-9.60   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   9.60-9.70   sec   256 KBytes  21.0 Mbits/sec                  


============2021-01-23 11:06:10===========

[  5]   9.70-9.80   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   9.80-9.90   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   9.90-10.00  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  10.00-10.10  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  10.10-10.20  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  10.20-10.30  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  10.30-10.40  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  10.40-10.50  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  10.50-10.60  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  10.60-10.70  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  10.70-10.80  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  10.80-10.90  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  10.90-11.00  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  11.00-11.10  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  11.10-11.20  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  11.20-11.30  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  11.30-11.40  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  11.40-11.50  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  11.50-11.60  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  11.60-11.70  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  11.70-11.80  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  11.80-11.90  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  11.90-12.00  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  12.00-12.10  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  12.10-12.20  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  12.20-12.30  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  12.30-12.40  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  12.40-12.50  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  12.50-12.60  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  12.60-12.70  sec   384 KBytes  31.4 Mbits/sec                  
[  5]  12.70-12.80  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  12.80-12.90  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  12.90-13.00  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  13.00-13.10  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  13.10-13.20  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  13.20-13.30  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  13.30-13.40  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  13.40-13.50  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  13.50-13.60  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  13.60-13.70  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  13.70-13.80  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  13.80-13.90  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  13.90-14.00  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  14.00-14.10  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  14.10-14.20  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  14.20-14.30  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  14.30-14.40  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  14.40-14.50  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  14.50-14.60  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  14.60-14.70  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  14.70-14.80  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  14.80-14.90  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  14.90-15.00  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  15.00-15.10  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  15.10-15.20  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  15.20-15.30  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  15.30-15.40  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  15.40-15.50  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  15.50-15.60  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  15.60-15.70  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  15.70-15.80  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  15.80-15.90  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  15.90-16.00  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  16.00-16.10  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  16.10-16.20  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  16.20-16.30  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  16.30-16.40  sec   384 KBytes  31.5 Mbits/sec                  
[  5]  16.40-16.50  sec   256 KBytes  21.0 Mbits/sec                  
[  5]  16.50-16.59  sec   188 KBytes  17.0 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  5]   0.00-16.59  sec  50.2 MBytes  25.4 Mbits/sec    6             sender
[  5]   0.00-16.59  sec  50.2 MBytes  25.4 Mbits/sec                  receiver

iperf Done.
Connecting to host 10.10.0.23, port 25000
Reverse mode, remote host 10.10.0.23 is sending
[  5] local 172.16.62.237 port 51166 connected to 10.10.0.23 port 25000
[ ID] Interval           Transfer     Bandwidth
[  5]   0.00-0.10   sec   104 KBytes  8.49 Mbits/sec                  
[  5]   0.10-0.20   sec   269 KBytes  22.0 Mbits/sec                  
[  5]   0.20-0.30   sec   345 KBytes  28.3 Mbits/sec                  
